evt_block_number,evt_block_time,evt_tx_hash,owner,origin,amount,amount0,amount1,tick_lower,tick_upper,evt_index
19866114,2024-05-14 10:18:11,0x0bb956fbd6fafd9123f91de5fba4f0b7396ea2578eddbf8be7ca4b3526ae8192,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-380,-320,109
19866114,2024-05-14 10:18:11,0x0bb956fbd6fafd9123f91de5fba4f0b7396ea2578eddbf8be7ca4b3526ae8192,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-380,-320,111
19866114,2024-05-14 10:18:11,0x0bb956fbd6fafd9123f91de5fba4f0b7396ea2578eddbf8be7ca4b3526ae8192,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-340,117
19866114,2024-05-14 10:18:11,0x0bb956fbd6fafd9123f91de5fba4f0b7396ea2578eddbf8be7ca4b3526ae8192,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-370,-340,119
19468290,2024-03-19 15:46:35,0x0cc9a6eec6aa525c6f92645d20d1696a9a3f0fae1121fab797eb9c46aadcbcc7,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,400508720275034896072704,199.840504764468937694,2.99272728474398978,-270,-260,52
19487883,2024-03-22 09:47:47,0x0e730e0b45eb7db7e3efc545590efea322905ecc786ab7122d556f6b0dc3793e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-340,-280,152
19487883,2024-03-22 09:47:47,0x0e730e0b45eb7db7e3efc545590efea322905ecc786ab7122d556f6b0dc3793e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-340,-280,154
19487883,2024-03-22 09:47:47,0x0e730e0b45eb7db7e3efc545590efea322905ecc786ab7122d556f6b0dc3793e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-220,160
19487883,2024-03-22 09:47:47,0x0e730e0b45eb7db7e3efc545590efea322905ecc786ab7122d556f6b0dc3793e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-370,-220,162
19548332,2024-03-30 22:45:47,0x10fa72b6dfd667e48f1e822506bbf441aa5b96a0913d6621c8c228dd64a5d21b,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x44f282832496bf95192ae687e461a9607b7bd326,6394071269484794015051,16.205675230759603266,0,-300,-250,209
19324472,2024-02-28 12:13:47,0x1997fa9f89d1341689fa55e02a8cb142d8df99b02e417e86da9b123da893bb97,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb369b35bcf48257f5cc0ad688350dae80bbc994a,1,0,0,-320,-300,48
19324472,2024-02-28 12:13:47,0x1997fa9f89d1341689fa55e02a8cb142d8df99b02e417e86da9b123da893bb97,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb369b35bcf48257f5cc0ad688350dae80bbc994a,0,0,0,-320,-300,50
19647173,2024-04-13 19:13:59,0x1b2936e3e64f807fc296b6d670272bb23b03ef834c091a7150f55d31f4ebe6b9,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,618752985110298455179264,137.308779111521472282,171.399876900169877066,-340,-330,36
19082024,2024-01-25 12:05:23,0x1c0970b464bc65816f5932e0caa923b485f8af2df4c9bb24b4dfb3d7c04539d1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb369b35bcf48257f5cc0ad688350dae80bbc994a,1,0,0,-290,-250,167
19082024,2024-01-25 12:05:23,0x1c0970b464bc65816f5932e0caa923b485f8af2df4c9bb24b4dfb3d7c04539d1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb369b35bcf48257f5cc0ad688350dae80bbc994a,0,0,0,-290,-250,169
19507438,2024-03-25 03:44:23,0x251a15fcb953f1159540f2be859e08426d85f5ddb3c2a442212b666c74f0629f,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1272703892440768268890251,2223.454685373008035398,1600.857386463240457716,-340,-280,155
19507438,2024-03-25 03:44:23,0x251a15fcb953f1159540f2be859e08426d85f5ddb3c2a442212b666c74f0629f,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,759575894259597730778742,2481.506037620609875433,2074.688355149560906503,-370,-250,167
19161362,2024-02-05 15:04:23,0x258879ef87cd05b9db462c4948040c772238975c3d08970d528938e343245cb2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,13078670036023801544704,6.093045625370067399,0.532470974552731672,-320,-310,65
