Tick, Second, Min, Hour, Day, Month, Year, LP_token1, LP_token0, Trader_token1, Trader_token0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999523978.25, 999999999791.7595, 5499999999765122.0, 5000000000000114.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999505568.88, 999999999783.8644, 5499999999719248.0, 5000000000000136.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999505568.88, 999999999783.8644, 5499999999741780.0, 5000000000000125.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999499929.34, 999999999782.2023, 5499999999777788.0, 5000000000000108.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999499929.34, 999999999782.2023, 5499999999827721.0, 5000000000000082.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999477129.8, 999999999774.014, 5499999999812978.0, 5000000000000090.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999477129.8, 999999999774.014, 5499999999776416.0, 5000000000000108.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999464911.17, 999999999770.7765, 5499999999819326.0, 5000000000000086.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999462790.3, 999999999769.2974, 5499999999864646.0, 5000000000000064.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999453831.31, 999999999765.6688, 5499999999823154.0, 5000000000000084.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999453831.31, 999999999765.6688, 5499999999859870.0, 5000000000000066.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999446856.58, 999999999762.1774, 5499999999878224.0, 5000000000000057.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999442354.14, 999999999759.8792, 5499999999828658.0, 5000000000000082.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999442354.14, 999999999759.8792, 5499999999779948.0, 5000000000000106.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999442354.14, 999999999759.8792, 5499999999798986.0, 5000000000000096.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999437779.48, 999999999756.684, 5499999999831993.0, 5000000000000080.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999421377.97, 999999999753.201, 5499999999881572.0, 5000000000000055.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999421377.97, 999999999753.201, 5499999999838725.0, 5000000000000076.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999412082.42, 999999999750.4393, 5499999999810270.0, 5000000000000090.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999397557.92, 999999999748.0386, 5499999999825838.0, 5000000000000083.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999397557.92, 999999999748.0386, 5499999999784457.0, 5000000000000103.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999397557.92, 999999999748.0386, 5499999999756764.0, 5000000000000117.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999394113.25, 999999999746.0126, 5499999999783822.0, 5000000000000103.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999377276.25, 999999999743.1731, 5499999999796973.0, 5000000000000097.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999367031.62, 999999999740.1855, 5499999999752589.0, 5000000000000118.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999367031.62, 999999999740.1855, 5499999999779705.0, 5000000000000105.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999367031.62, 999999999740.1855, 5499999999756732.0, 5000000000000117.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999359262.28, 999999999738.2192, 5499999999722932.0, 5000000000000133.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999341322.19, 999999999727.7284, 5499999999701483.0, 5000000000000144.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999341322.19, 999999999727.7284, 5499999999737495.0, 5000000000000126.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999332244.72, 999999999725.7622, 5499999999749739.0, 5000000000000120.0
